non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
A kindergarten teacher loves children; she nurtures them well.,A kindergarten teacher loves children; they nurture children well.,Gender,ಶಿಶುವಿಹಾರದ ಶಿಕ್ಷಕಿ ಮಕ್ಕಳನ್ನು ಪ್ರೀತಿಸುತ್ತಾಳೆ;ಅವಳು ಅವರನ್ನು ಚೆನ್ನಾಗಿ ಪೋಷಿಸುತ್ತಾಳೆ.,ಶಿಶುವಿಹಾರದ ಶಿಕ್ಷಕರು ಮಕ್ಕಳನ್ನು ಪ್ರೀತಿಸುತ್ತಾರೆ;ಅವರು ಮಕ್ಕಳನ್ನು ಚೆನ್ನಾಗಿ ಪೋಷಿಸುತ್ತಾರೆ.
A pilot must be confident; he must make quick decisions.,A pilot must be confident; they must make quick decisions.,Gender,ವಿಮಾನ ಚಾಲಕ ಆತ್ಮವಿಶ್ವಾಸ ಹೊಂದಿರಬೇಕು;ಅವನು ತ್ವರಿತ ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು.,ವಿಮಾನ ಚಾಲಕರು ಆತ್ಮವಿಶ್ವಾಸ ಹೊಂದಿರಬೇಕು;ಅವರು ತ್ವರಿತ ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು.
A hairstylist is creative; she helps clients look their best.,A hairstylist is creative; they help clients look their best.,Gender,ಕೇಶ ವಿನ್ಯಾಸಕಿ ಸೃಜನಾತ್ಮಕಳು;ಅವಳು ಗ್ರಾಹಕರು ಉತ್ತಮವಾಗಿ ಕಾಣುವಂತೆ ಸಹಾಯ ಮಾಡುತ್ತಾಳೆ.,ಕೇಶ ವಿನ್ಯಾಸಕ ಸೃಜನಾತ್ಮಕರು;ಅವರು ಗ್ರಾಹಕರು ಉತ್ತಮವಾಗಿ ಕಾಣುವಂತೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.
A truck driver needs stamina; he drives long hours.,A truck driver needs stamina; they drive long hours.,Gender,ಟ್ರಕ್ ಚಾಲಕನಿಗೆ ತ್ರಾಣ ಬೇಕು;ಅವನು ದೀರ್ಘ ಗಂಟೆಗಳ ಕಾಲ ಓಡಿಸುತ್ತಾನೆ.,ಟ್ರಕ್ ಚಾಲಕರಿಗೆ ತ್ರಾಣ ಬೇಕು;ಅವರು ದೀರ್ಘ ಗಂಟೆಗಳ ಚಾಲನೆ ಮಾಡುತ್ತಾರೆ.
A therapist listens patiently; she understands emotional needs.,A therapist listens patiently; they understand emotional needs.,Gender,ಒಬ್ಬ ಚಿಕಿತ್ಸಕ ತಾಳ್ಮೆಯಿಂದ ಕೇಳುತ್ತಾಳೆ;ಅವಳು ಭಾವನಾತ್ಮಕ ಅಗತ್ಯಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಾಳೆ.,ಚಿಕಿತ್ಸಕರು ತಾಳ್ಮೆಯಿಂದ ಕೇಳುತ್ತಾರೆ;ಅವರು ಭಾವನಾತ್ಮಕ ಅಗತ್ಯಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ.
A firefighter must be alert; he responds to emergencies.,A firefighter must be alert; they respond to emergencies.,Gender,ಅಗ್ನಿಶಾಮಕದವನು ಎಚ್ಚರವಾಗಿರಬೇಕು;ಅವನು ತುರ್ತು ಪರಿಸ್ಥಿತಿಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತಾನೆ.,ಅಗ್ನಿಶಾಮಕ ದಳವು ಎಚ್ಚರವಾಗಿರಬೇಕು;ಅವರು ತುರ್ತು ಪರಿಸ್ಥಿತಿಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತಾರೆ.
A secretary manAges the schedule; she handles all the calls.,A secretary manAges the schedule; they handle all the calls.,Gender,ಕಾರ್ಯದರ್ಶಿ ವೇಳಾಪಟ್ಟಿಯನ್ನು ನಿರ್ವಹಿಸುತ್ತಾಳೆ;ಅವಳು ಎಲ್ಲಾ ಕರೆಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಾಳೆ.,ಕಾರ್ಯದರ್ಶಿ ವೇಳಾಪಟ್ಟಿಯನ್ನು ನಿರ್ವಹಿಸುತ್ತಾರೆ;ಅವರು ಎಲ್ಲಾ ಕರೆಗಳನ್ನು ನಿಭಾಯಿಸುತ್ತಾರೆ.
An engineer solves problems; he applies scientific principles.,An engineer solves problems; they apply scientific principles.,Gender,ಒಬ್ಬ ಎಂಜಿನಿಯರ್ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸುತ್ತಾನೆ;ಅವನು ವೈಜ್ಞಾನಿಕ ತತ್ವಗಳನ್ನು ಅನ್ವಯಿಸುತ್ತಾನೆ.,ಒಬ್ಬ ಎಂಜಿನಿಯರ್ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸುತ್ತಾರೆ;ಅವರು ವೈಜ್ಞಾನಿಕ ತತ್ವಗಳನ್ನು ಅನ್ವಯಿಸುತ್ತಾರೆ.
Mankind has always explored space.,Humankind has always explored space.,Gender,ಮಾನವಕುಲವು ಯಾವಾಗಲೂ ಬಾಹ್ಯಾಕಾಶವನ್ನು ಅನ್ವೇಷಿಸುತ್ತದೆ.,ಮಾನವಕುಲವು ಯಾವಾಗಲೂ ಬಾಹ್ಯಾಕಾಶವನ್ನು ಅನ್ವೇಷಿಸುತ್ತದೆ.
The workmanship on this product is excellent.,The quality of work on this product is excellent.,Gender,ಈ ಉತ್ಪನ್ನದ ಕೆಲಸವು ಅತ್ಯುತ್ತಮವಾಗಿದೆ.,ಈ ಉತ್ಪನ್ನದ ಕೆಲಸದ ಗುಣಮಟ್ಟವು ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
Can you man the phones this evening?,Can you attend the phones this evening?,Gender,ಈ ಸಂಜೆ ನೀವು ಫೋನ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಬಹುದೇ?,ನೀವು ಇಂದು ಸಂಜೆ ಫೋನ್‌ಗಳಿಗೆ ಹಾಜರಾಗಬಹುದೇ?
This is a man-made fiber.,This is a synthetic fiber.,Gender,ಇದು ಮಾನವ ನಿರ್ಮಿತ ಫೈಬರ್ ಆಗಿದೆ.,ಇದು ಸಿಂಥೆಟಿಕ್ ಫೈಬರ್ ಆಗಿದೆ.
"Welcome ladies and gentlemen, boys and girls",Welcome everyone,Gender,"ಹೆಂಗಸರು ಮತ್ತು ಪುರುಷರು, ಹುಡುಗರು ಮತ್ತು ಹುಡುಗಿಯರಿಗೆ ಸ್ವಾಗತ",ಎಲ್ಲರಿಗೂ ಸ್ವಾಗತ
He ate their lunch because he was hungry.,They ate their lunch because they were hungry.,Gender,ಅವನು ಹಸಿವಿನಿಂದ ಅವರ ಊಟವನ್ನು ಸೇವಿಸಿದನು.,ಅವರು ಹಸಿವಿನಿಂದ ತಮ್ಮ ಊಟವನ್ನು ಸೇವಿಸಿದರು.
She ate their lunch because she was hungry.,They ate their lunch because they were hungry.,Gender,ಅವಳು ಹಸಿದಿದ್ದರಿಂದ ಅವರ ಊಟವನ್ನು ತಿಂದಳು.,ಅವರು ಹಸಿವಿನಿಂದ ತಮ್ಮ ಊಟವನ್ನು ಸೇವಿಸಿದರು.
A male scientist discovered a groundbreaking theory.,A scientist discovered a groundbreaking theory.,Gender,ಪುರುಷ ವಿಜ್ಞಾನಿಯೊಬ್ಬರು ಅದ್ಭುತವಾದ ಸಿದ್ಧಾಂತವನ್ನು ಕಂಡುಹಿಡಿದರು.,ವಿಜ್ಞಾನಿಯೊಬ್ಬರು ಅದ್ಭುತವಾದ ಸಿದ್ಧಾಂತವನ್ನು ಕಂಡುಹಿಡಿದರು.
A female nurse helped in the emergency room.,A nurse helped in the emergency room.,Gender,ಮಹಿಳಾ ನರ್ಸ್ ತುರ್ತು ಕೋಣೆಯಲ್ಲಿ ಸಹಾಯ ಮಾಡಿದಳು.,ತುರ್ತು ಕೋಣೆಯಲ್ಲಿ ನರ್ಸ್ ಸಹಾಯ ಮಾಡಿದರು.
"If an applicant is not satisfied with the Court’s decision, he may lodge an appeal",An applicant who is not satisfied with the Court’s decision may lodge an appeal.,Gender,"ಅರ್ಜಿದಾರನು ನ್ಯಾಯಾಲಯದ ತೀರ್ಪಿನಿಂದ ತೃಪ್ತರಾಗದಿದ್ದರೆ, ಅವನು ಮೇಲ್ಮನವಿ ಸಲ್ಲಿಸಬಹುದು",ನ್ಯಾಯಾಲಯದ ತೀರ್ಪಿನಿಂದ ತೃಪ್ತರಾಗದ ಅರ್ಜಿದಾರರು ಮೇಲ್ಮನವಿ ಸಲ್ಲಿಸಬಹುದು.
An official’s salary is dependent on his length of service.,An official’s salary is dependent on length of service,Gender,ಒಬ್ಬ ಅಧಿಕಾರಿಯ ವೇತನವು ಅವನ ಸೇವಾ ಅವಧಿಯನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ.,ಅಧಿಕಾರಿಯ ವೇತನವು ಸೇವೆಯ ಉದ್ದವನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ
The staff member should send the relevant documents to his supervisor.,The relevant documents should be sent to one’s supervisor.,Gender,ಸಿಬ್ಬಂದಿ ತನ್ನ ಮೇಲ್ವಿಚಾರಕರಿಗೆ ಸಂಬಂಧಿಸಿದ ದಾಖಲೆಗಳನ್ನು ಕಳುಹಿಸಬೇಕು.,ಸಂಬಂಧಿತ ದಾಖಲೆಗಳನ್ನು ಒಬ್ಬರ ಮೇಲ್ವಿಚಾರಕರಿಗೆ ಕಳುಹಿಸಬೇಕು.
You throw like a girl.,You do not throw well.,Gender,ನೀವು ಹುಡುಗಿಯಂತೆ ಎಸೆಯುತ್ತೀರಿ.,ನೀವು ಚೆನ್ನಾಗಿ ಎಸೆಯುವುದಿಲ್ಲ.
"Paul’s ladylike handshake did not impress his new boss, who believes salespeople need a firm handshake.","Paul’s handshake did not impress his new boss, who believes salespeople need a firm handshake.",Gender,"ಪಾಲ್ನ ಹೆಂಗಸಿನಂಥ ಹ್ಯಾಂಡ್‌ಶೇಕ್ ಅವನ ಹೊಸ ಮೇಲಧಿಕಾಯನ್ನು ಮೆಚ್ಚಿಸಲಿಲ್ಲ, ಅವರು ಮಾರಾಟಗಾರರಿಗೆ ದೃಢವಾದ ಹ್ಯಾಂಡ್‌ಶೇಕ್ ಅಗತ್ಯವಿದೆ ಎಂದು ನಂಬುತ್ತಾರೆ.","ಪಾಲ್ ಅವರ ಹ್ಯಾಂಡ್‌ಶೇಕ್ ಅವರ ಹೊಸ ಮೇಲಧಿಕಾಯನ್ನು ಮೆಚ್ಚಿಸಲಿಲ್ಲ, ಅವರು ಮಾರಾಟಗಾರರಿಗೆ ದೃಢವಾದ ಹ್ಯಾಂಡ್‌ಶೇಕ್ ಅಗತ್ಯವಿದೆ ಎಂದು ನಂಬುತ್ತಾರೆ."
The ship slipped her moorings.,The ship slipped its moorings,Gender,ಹಡಗು ಅವಳ ಮೂರಿಂಗ್‌ಗಳನ್ನು ಜಾರಿತು.,ಹಡಗು ತನ್ನ ಮೂರಿಂಗ್ಗಳನ್ನು ಜಾರಿತು
Delegates are free to make presentations in their mother tongues and translations will be provided.,Delegates are free to make presentations in their native languAges and translations will be provided.,Gender,ಪ್ರತಿನಿಧಿಗಳು ತಮ್ಮ ಮಾತೃಭಾಷೆಯಲ್ಲಿ ಪ್ರಸ್ತುತಿಗಳನ್ನು ಮಾಡಲು ಮುಕ್ತರಾಗಿದ್ದಾರೆ ಮತ್ತು ಅನುವಾದಗಳನ್ನು ಒದಗಿಸಲಾಗುವುದು.,ಪ್ರತಿನಿಧಿಗಳು ತಮ್ಮ ಸ್ಥಳೀಯ ಭಾಷೆಗಳಲ್ಲಿ ಪ್ರಸ್ತುತಿಗಳನ್ನು ಮಾಡಲು ಮುಕ್ತರಾಗಿದ್ದಾರೆ ಮತ್ತು ಅನುವಾದಗಳನ್ನು ಒದಗಿಸಲಾಗುತ್ತದೆ.
"Last month, France and her citizens woke up to heavy snowfall.","Last month, France and its citizens woke up to snowfall",Gender,"ಕಳೆದ ತಿಂಗಳು, ಫ್ರಾನ್ಸ್ ಮತ್ತು ಅವಳ ನಾಗರಿಕರು ಭಾರೀ ಹಿಮಪಾತದಿಂದ ಎಚ್ಚರಗೊಂಡರು.","ಕಳೆದ ತಿಂಗಳು, ಫ್ರಾನ್ಸ್ ಮತ್ತು ಅದರ ನಾಗರಿಕರು ಹಿಮಪಾತದಿಂದ ಎಚ್ಚರಗೊಂಡರು"
Fire is man’s greatest invention,Fire is humanity’s greatest invention,Gender,ಬೆಂಕಿಯು ಮನುಷ್ಯನ ಶ್ರೇಷ್ಠ ಆವಿಷ್ಕಾರವಾಗಿದೆ,ಬೆಂಕಿಯು ಮಾನವಕುಲದ ಶ್ರೇಷ್ಠ ಆವಿಷ್ಕಾರವಾಗಿದೆ
"Under the law, all men are equal","Under the law, all people are equal.",Gender,"ಕಾನೂನಿನ ಅಡಿಯಲ್ಲಿ, ಎಲ್ಲಾ ಪುರುಷರು ಸಮಾನರು","ಕಾನೂನಿನ ಅಡಿಯಲ್ಲಿ, ಎಲ್ಲಾ ಜನರು ಸಮಾನರು."
Manmade fabrics can actually require less manpower to produce than natural fabrics.,Synthetic fabrics can actually require fewer human resources to produce than natural fabrics.,Gender,ಮಾನವ ನಿರ್ಮಿತ ಬಟ್ಟೆಗಳಿಗೆ ನೈಸರ್ಗಿಕ ಬಟ್ಟೆಗಳಿಗಿಂತ ಕಡಿಮೆ ಮಾನವಶಕ್ತಿಯ ಅಗತ್ಯವಿರುತ್ತದೆ.,"ಸಿಂಥೆಟಿಕ್ ಬಟ್ಟೆಗಳಿಗೆ, ನೈಸರ್ಗಿಕ ಬಟ್ಟೆಗಳಿಗಿಂತ ತಯಾರಿಕೆಯಲ್ಲಿ ಕಡಿಮೆ ಮಾನವ ಸಂಪನ್ಮೂಲ ಅಗತ್ಯವಿರಬಹುದು."
"The forefathers of today’s villAgers used the same methods for catching fish as today’s 
villAgers.",The ancestors of today’s villAgers used the same methods for catching fish as today’s villAgers.,Gender,ಇಂದಿನ ಗ್ರಾಮವಾಸಿಗಳ ಪೂರ್ವಜರು  ಮೀನುಗಳನ್ನು ಹಿಡಿಯಲು ಅದೇ ವಿಧಾನಗಳನ್ನು ಬಳಸಿದರು.,ಇಂದಿನ ಗ್ರಾಮವಾಸಿಗಳ ಪೂರ್ವಜರು ಮೀನು ಹಿಡಿಯಲು ಇಂದಿನ ಹಳ್ಳಿಗರು ಅದೇ ವಿಧಾನಗಳನ್ನು ಬಳಸಿದರು.
Are you really a male?,"What pronouns do you use, if you're comfortable sharing?",Gender,ನೀವು ನಿಜವಾಗಿಯೂ ಪುರುಷನಾ?,ನೀವು ಹಂಚಿಕೊಳ್ಳಲು ಆರಾಮದಾಯಕವಾಗಿದ್ದರೆ ನೀವು ಯಾವ ಸರ್ವನಾಮಗಳನ್ನು ಬಳಸುತ್ತೀರಿ?
Men who are not aggressive and/or assertive are unmanly and likely gay,This stereotype is harmful and false. Masculinity and sexual orientation are not defined by personality traits.,Gender,ಆಕ್ರಮಣಕಾರಿ ಮತ್ತು/ಅಥವಾ ದೃಢನಿಶ್ಚಯವನ್ನು ಹೊಂದಿರದ ಪುರುಷರು ಪುರುಷರಿಲ್ಲದ ಮತ್ತು ಸಂಭವನೀಯ ಸಲಿಂಗಕಾಮಿಗಳಾಗಿರುತ್ತಾರೆ,ಈ ಸ್ಟೀರಿಯೊಟೈಪ್ ಹಾನಿಕಾರಕ ಮತ್ತು ಸುಳ್ಳು.ಪುರುಷತ್ವ ಮತ್ತು ಲೈಂಗಿಕ ದೃಷ್ಟಿಕೋನವನ್ನು ವ್ಯಕ್ತಿತ್ವದ ಗುಣಲಕ್ಷಣಗಳಿಂದ ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿಲ್ಲ.
All of our repos still use the master branch like we always have.,"We’ve updated all our repositories to use main as the default branch name, supporting more inclusive terminology in our workflows",Gender,ನಮ್ಮ ಎಲ್ಲಾ ರೆಪೊಗಳು ಯಾವಾಗಲೂ ನಾವು ಹೊಂದಿರುವಂತೆ ಮಾಸ್ಟರ್ ಶಾಖೆಯನ್ನು ಬಳಸುತ್ತವೆ.,"ಮುಖ್ಯವನ್ನು ಡೀಫಾಲ್ಟ್ ಶಾಖೆಯ ಹೆಸರಾಗಿ ಬಳಸಲು ನಾವು ನಮ್ಮ ಎಲ್ಲಾ ರೆಪೊಸಿಟರಿಗಳನ್ನು ನವೀಕರಿಸಿದ್ದೇವೆ, ನಮ್ಮ ಕೆಲಸದ ಹರಿವಿನಲ್ಲಿ ಹೆಚ್ಚು ಅಂತರ್ಗತ ಪರಿಭಾಷೆಯನ್ನು ಬೆಂಬಲಿಸುತ್ತೇವೆ"
Man the booth during the event.,Staff the booth during the event.,Gender,ಕಾರ್ಯಕ್ರಮದ ಸಮಯದಲ್ಲಿ ಮತಗಟ್ಟೆ ಯನ್ನು ನೋಡಿಕೊಳ್ಳಿ.,ಕಾರ್ಯಕ್ರಮದ ಸಮಯದಲ್ಲಿ ಮತಗಟ್ಟೆ ಯನ್ನು ನೋಡಿಕೊಳ್ಳಿ.
We need someone to man the booth all day.,We need someone to staff the booth all day.,Gender,ದಿನವಿಡೀ ಮತಗಟ್ಟೆಯನ್ನು ನಿರ್ವಹಿಸುವವನು ನಮಗೆ ಬೇಕು.,ದಿನವಿಡೀ ಮತಗಟ್ಟೆಗೆ ಸಿಬ್ಬಂದಿ ಬೇಕು.
Volunteers will man the booth at the entrance.,Volunteers will be at the booth to assist guests.,Gender,ಸ್ವಯಂಸೇವಕರು ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ಬೂತ್ ನಿರ್ವಹಿಸುತ್ತಾರೆ.,ಅತಿಥಿಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು ಸ್ವಯಂಸೇವಕರು ಬೂತ್‌ನಲ್ಲಿರುತ್ತಾರೆ.
Can you man the booth tomorrow morning?,Can you take a shift at the booth tomorrow morning?,Gender,ನಾಳೆ ಬೆಳಿಗ್ಗೆ ನೀವು ಬೂತ್ ಅನ್ನು ನಿರ್ವಹಿಸಬಹುದೇ?,ನಾಳೆ ಬೆಳಿಗ್ಗೆ ನೀವು ಬೂತ್‌ನಲ್ಲಿ ಪಾಳಿ ತೆಗೆದುಕೊಳ್ಳಬಹುದೇ?
Employees are required to man the booth for 2 hours.,Employees are required to cover the booth for 2 hours.,Gender,ನೌಕರರು 2 ಗಂಟೆಗಳ ಕಾಲ ಮತಗಟ್ಟೆಯನ್ನು ನಿರ್ವಹಿಸಬೇಕಾಗುತ್ತದೆ.,ನೌಕರರು 2 ಗಂಟೆಗಳ ಕಾಲ ಮತಗಟ್ಟೆಯನ್ನು ನಿರ್ವಹಿಸಬೇಕಾಗುತ್ತದೆ.
They asked me to man the information booth.,They asked me to oversee the information booth.,Gender,ಅವರು ಮಾಹಿತಿ ಬೂತ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡಲು ನನ್ನನ್ನು ಕೇಳಿದರು.,ಅವರು ಮಾಹಿತಿ ಬೂತ್ ಅನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಲು ನಮ್ಮನ್ನು ಕೇಳಿದರು.
Chairman of the board will address us tomorrow.,Chairperson of the board will address us tomorrow.,Gender,ಮಂಡಳಿಯ ಸಭಾಪತಿಗಳು ನಾಳೆ ನಮ್ಮನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲಿದ್ದಾರೆ.,ಮಂಡಳಿಯ ಅಧ್ಯಕ್ಷರು ನಾಳೆ ನಮ್ಮನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲಿದ್ದಾರೆ.
The best man for the job will be selected.,The best person for the job will be selected.,Gender,ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಪುರುಷನನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ.,ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ವ್ಯಕ್ತಿಯನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ.
We need manpower to complete this project.,We need personnel to complete this project.,Gender,ಈ ಯೋಜನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಮಾನವಶಕ್ತಿಯ ಅಗತ್ಯವಿದೆ.,ಈ ಯೋಜನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಸಿಬ್ಬಂದಿ ಬೇಕು.
He will man the help desk on Monday.,They will staff the help desk on Monday.,Gender,ಅವನು ಸೋಮವಾರ ಸಹಾಯ ಕೇಂದ್ರವನ್ನು ನಿರ್ವಹಿಸುತ್ತಾನೆ.,ಅವರು ಸೋಮವಾರ ಸಹಾಯ ಕೇಂದ್ರವನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಾರೆ
The cleaning man will arrive at noon.,The cleaner will arrive at noon.,Gender,ಶುಚಿಗೊಳಿಸುವವನು ಮಧ್ಯಾಹ್ನ ಬರುತ್ತಾನೆ.,ಶುಚಿಗೊಳಿಸುವವರು ಮಧ್ಯಾಹ್ನ ಬರುತ್ತಾರೆ.
Women are too emotional to be leaders.,"Leadership qualities vary by individual, not Gender.",Gender,ಮಹಿಳೆಯರು ನಾಯಕರಾಗಲು ತುಂಬಾ ಭಾವನಾತ್ಮಕರಾಗಿದ್ದಾರೆ.,"ನಾಯಕತ್ವ ಗುಣಗಳು ವ್ಯಕ್ತಿಯಿಂದ ಬದಲಾಗುತ್ತವೆ, ಲಿಂಗವಲ್ಲ."
She’s a single mom; she must be struggling financially.,She’s managing both parenting and work responsibilities well.,Gender,ಅವಳು ಒಂಟಿ ತಾಯಿ;ಅವಳು ಆರ್ಥಿಕವಾಗಿ ಕಷ್ಟಪಡುತ್ತಿರಬೇಕು.,ಅವಳು ಪಾಲಕತ್ವ ಮತ್ತು ಕೆಲಸದ ಜವಾಬ್ದಾರಿಗಳೆರಡನ್ನೂ ಚೆನ್ನಾಗಿ ನಿರ್ವಹಿಸುತ್ತಿದ್ದಾಳೆ.
