ID,non-inclusive German,inclusive German
1062,"Alleinerziehenden Müttern fällt es schwer, Zeit für sich selbst zu finden.","Alleinerziehenden Eltern fällt es möglicherweise schwer, Zeit für sich selbst zu finden."
1063,"Alleinerziehenden Müttern fällt es schwer, ihre Finanzen zu verwalten.",Alleinerziehende Eltern stehen oft vor besonderen finanziellen Herausforderungen.
1064,Der Vater besuchte seine Kinder nie.,Das andere Elternteil besuchte die Kinder nie.
1074,Der Imker erntet im Frühjahr den ersten Honig.,Die Imkerei erntet im Frühjahr den ersten Honig.
1075,Der Imker kümmert sich um die Bienenvölker.,Die Imkerei kümmert sich um die Bienenvölker.
1076,Der Florist bindet einen farbenfrohen Strauß.,Das Blumengeschäft bindet einen farbenfrohen Strauß.
1077,Der Förster markiert die Bäume für die nächste Fällung.,Die Forstverwaltung markiert die Bäume für die nächste Fällung.
1078,Der Kartograf zeichnet neue Straßen in die Karte ein.,Das Vermessungsamt zeichnet neue Straßen in die Karte ein.
1079,Der Falkner trainiert seinen Greifvogel für die Jagd.,Die Falknerei trainiert ihren Greifvogel für die Jagd.
1080,Der Buchbinder restauriert alte Manuskripte.,Die Buchbinderei restauriert alte Manuskripte.
1081,Der Glasbläser formt kunstvolle Vasen im Ofen.,Die Glasbläserei formt kunstvolle Vasen im Ofen.
1082,Der Gärtner zieht neue Setzlinge im Gewächshaus.,Die Gärtnerei zieht neue Setzlinge im Gewächshaus.
1083,Der Uhrmacher reinigt das Uhrwerk.,Die Uhrenwerkstatt reinigt das Uhrwerk.
1084,Der Elektriker verlegt neue Leitungen.,Der Elektroservice verlegt neue Leitungen.
1085,Der Installateur repariert den tropfenden Wasserhahn.,Der Sanitärbetrieb repariert den tropfenden Wasserhahn.
1086,Der Maler streicht die Fassade des Hauses neu.,Der Malerbetrieb streicht die Fassade des Hauses neu.
1087,Der Schreiner fertigt eine maßgefertigte Kommode an.,Die Schreinerei fertigt eine maßgefertigte Kommode an.
1088,Der Dachdecker deckt das Haus mit neuen Ziegeln ein.,Die Dachdeckerei deckt das Haus mit neuen Ziegeln ein.
1089,Der Maurer errichtet die Außenmauer des Neubaus.,Das Bauunternehmen errichtet die Außenmauer des Neubaus.
1090,Der Elektriker montiert neue Steckdosen.,Der Elektrofachbetrieb montiert neue Steckdosen.
1091,Der Kfz‑Mechatroniker überprüft den Motor auf Fehler.,Die Autowerkstatt überprüft den Motor auf Fehler.
1092,Der Schornsteinfeger misst die Abgaswerte des Ofens.,Der Reinigungsdienst misst die Abgaswerte des Ofens.
1093,Der Monteur installiert Solarpanels auf dem Dach.,Das Montageteam installiert Solarpanels auf dem Dach.
1094,Der Klempner dichtet das Rohr unter der Spüle ab.,Der Sanitärdienst dichtet das Rohr unter der Spüle ab.
1095,Der Tischler baut ein neues Bücherregal.,Die Tischlerei baut ein neues Bücherregal.
1096,Der Kellner serviert das Mittagessen pünktlich.,Die Bedienung serviert das Mittagessen pünktlich.
1097,Der Taxifahrer bringt die Gäste zum Flughafen.,Das Taxi bringt die Gäste zum Flughafen.
1098,Der Koch bereitet die Suppe frisch zu.,Die Küche bereitet die Suppe frisch zu.
1099,Der Fotograf macht Porträtaufnahmen im Studio.,Das Fotostudio macht Porträtaufnahmen im Atelier
1100,Der Babysitter holt das Kind vom Kindergarten ab.,Die Kinderbetreuung holt das Kind vom Kindergarten ab.
1101,Der Chauffeur öffnet der Kundin die Autotür.,Der Fahrservice öffnet der Kundin die Autotür.
1102,Der Masseur löst Verspannungen im Nackenbereich.,Die Massagepraxis löst Verspannungen im Nackenbereich.
1103,Der Taxifahrer hält vor dem Haus. ,Das Taxi hält vor dem Haus.
1104,Der Lehrer vergibt einen Tadel.,Die Lehrkraft vergibt einen Tadel.
1105,Leider haben wir nicht genug Krankenschwestern.,Leider haben wir nicht genug Pflegekräfte.
1106,Die Hebammen in diesem Krankenhaus sind sehr freundlich.,Die Geburtshelfenden in diesem Krankenhaus sind sehr freundlich.
1107,In der Klinik arbeiten viele kompetente Therapeuten.,Die Klinik beschäftigt ein großes und kompetentes therapeutisches Fachpersonal.
1108,Die Stiftung bietet Studenten finanzielle Unterstützung an.,Die Stiftung bietet Studierenden finanzielle Unterstützung an.
1109,Jeder sollte einmal in New York gewesen sein.,Alle sollten einmal in New York gewesen sein.
1110,Jeder hat pünktlich zu sein.,Alle haben pünktlich zu sein.
1111,Auf der Konferenz hielten viele Ärzte Vorträge.,Auf der Konferenz hielten viele Ärzte und Ärztinnen Vorträge.
1112,Fragen Sie Ihren Apotheker. ,Fragen Sie in Ihrer Apotheke.
1113,Der Hausverwalter ist sehr unorganisiert.,Die Hausverwaltung ist sehr unorganisiert.
1114,Berliner Busfahrer sind oft nicht besonders freundlich.,Busfahrende in Berlin sind oft nicht besonders freundlich.
1115,Ich musste meinen Hund zum Tierarzt bringen. ,Ich musste meinen Hund in die Tierarztpraxis bringen.
1116,Im Gegensatz zu Sprintern brauchen Marathonläufer deutlich mehr Ausdauer.,"Im Gegensatz zu Personen, die sprinten, brauchen diejenigen, die einen Marathon laufen deutlich mehr Ausdauer."
1117,Der Großteil der Teilnehmer ist minderjährig. ,Der Großteil der Teilnehmenden ist minderjährig.
1118,Kindergärtner haben einen anstrengenden Berufsalltag.,Kindergärtner und Kindergärtnerinnen haben einen anstrengenden Berufsalltag.
1119,Unser Buchhalter ist extern angestellt.,Die Buchhaltung wird von einem externen Anbieter übernommen.
1120,"Um Mediziner zu werden, braucht man einen guten Abschluss.",Für eine Karriere in der Medizin ist ein guter Abschluss notwendig.
1121,Die Sicherheitsmänner griffen mit harter Hand durch.,Das Sicherheitspersonal griff mit harter Hand durch.
1122,Er ist französischer Landsmann.,Er ist gebürtiger Franzose.
1123,"Ein Techniker wurde gerufen, um den Stromausfall zu beheben.","Eine technische Fachkraft wurde gerufen, um den Stromausfall zu beheben."
1124,Schnelle Autos sind reine Männersache.,"Es gibt viele Personen, die sich für schnelle Autos interessieren."
1125,Wir haben einen externen Restaurator für die Kirche beauftragt.,Wir haben eine externe Firma für die Restauration der Kirche beauftragt.
1126,Die Dozenten gratulierten den Studenten zu ihrem Abschluss.,Die Dozierenden gratulierten den Studierenden zu ihrem Abschluss.
1127,Für eine Abschlussarbeit werden zwei Prüfer benötigt.,Eine Abschlussarbeit muss von zwei Personen geprüft werden.
1128,Ich rufe jetzt den Hausmeister an.,Ich rufe jetzt den Hausservice an.
1129,Zum Abschluss erhielten alle Gesellen ihr Zeugnis und eine Tafel Schokolade.,Zum Abschluss erhielten alle Gesellinnen und Gesellen ihr Zeugnis und eine Tafel Schokolade.
1130,Der Moderator brach in Tränen aus.,Die Moderation brach in Tränen aus.
1131,Die Lehrer trafen sich nach dem Unterricht zur Gesamtkonferenz.,Die Lehrkräfte trafen sich nach dem Unterricht zur Gesamtkonferenz.
1132,Dieser Bäcker verkauft das beste Brot.,Diese Bäckerei verkauft das beste Brot.
1133,Wer ist eigentlich Spitzenkandidat dieser Partei?,Wer übernimmt eigentlich die Spitzenkandidatur für diese Partei?
1134,Der Schneider kürzt die Hose.,Die Schneiderei kürzt die Hose.
1135,Wer ist der Produzent von diesem Film?,Wer übernimmt die Produktion von diesem Film?
1136,Die Demonstranten protestieren laut.,Die Demonstrierenden protestieren laut.
1137,Politiker schütteln viele Hände.,Politiker und Politikerinnen schütteln viele Hände.
1138,Der Verlag ist beliebt bei vielen jungen Autoren.,Der Verlag ist beliebt bei vielen jungen Autoren und Autorinnen.
1139,Die Sanitäter des Einsatzteams waren sehr freundlich.,Das medizinische Personal des Einsatzteams war sehr freundlich.
1140,Der Interviewer stellte sehr unangenehme Fragen.,Beim Interview wurden sehr unangenehme Fragen gestellt.
1141,Die Schüler verstehen die Aufgabe nicht.,Die Schüler und Schülerinnen verstehen die Aufgabe nicht.
1142,Der Tontechniker justiert die Mikrofone.,Die Tontechnik justiert die Mikrofone.
1143,Wir haben noch keinen Brandschutzbeauftragten gefunden.,"Wir benötigen noch jemanden, der sich um den Brandschutz kümmert."
1144,Sie sind alle Spitzensportler.,Sie betreiben alle Sport auf Spitzenniveau.
1145,Der Patient hat große Schmerzen.,Die zu behandelnde Person hat große Schmerzen.
1146,In dem Restaurant arbeiten viele Studenten als Kellner.,In dem Restaurant arbeiten viele Studierende als Servicekräfte.
1147,Die Soldaten besetzen feindliches Gebiet.,Die Streitkräfte besetzen feindliches Gebiet.
1148,Wo finden wir hier den nächsten Bäcker?,Wo finden wir hier die nächste Bäckerei?
1149,Die Stadt hat nur wenige Einwohner.,Die Stadt hat nur wenige Einwohnende.
1150,Die Forscher haben bahnbrechende Erkenntnisse erzielt.,Die Forschenden haben bahnbrechende Erkenntnisse erzielt.
1151,Die Firma stellt hohe Ansprüche an Bewerber.,"Die Firme stellt hohe Ansprüche an alle, die sich bewerben möchten."
1152,"Wir bitten Antragsteller, dieses Formular auszufüllen.","Bitte füllen Sie dieses Formular aus, wenn Sie einen Antrag stellen möchten."
1153,Der Italiener an der Ecke verkauft die beste Pizza im Ort.,Das italienische Restaurant an der Ecke verkauft die beste Pizza im Ort.
1154,Die Müllmänner holen die Mülltonnen ab.,Die Müllabfuhr holt die Mülltonnen ab.
1155,Bitte wenden Sie sich an den Manager.,Bitte wenden Sie sich an das Management.
1156,Die Prüflinge stehen unter hohem Zeitdruck.,Die Prüfung findet unter hohem Zeitdruck statt.
1157,Liebe Brüder und Schwestern.,Liebe Geschwister.
1158,Zu welchem Arzt gehst du?,Zu welcher Arztpraxis gehst du?
1159,Der Reiseleiter ist begeistert von den Fragen der Teilnehmer.,Die Reiseleitung ist begeistert von den Fragen der Teilnehmenden.
1160,Die Studienteilnehmer müssen sich sehr konzentrieren.,Die Studienteilnehmenden müssen sich sehr konzentrieren.
1161,Wir suchen talentierte Redner.,Wir suchen talentierte Redner und Rednerinnen.
1162,"Könnten Sie sich vorstellen, Kandidat zu werden?",Könnten Sie sich eine Kandidatur vorstellen?
1163,Der Soldat wartet die Waffe. ,Soldaten und Soldatinnen warten ihre Waffen.
1164,Die Putzfrau verdient wenig.,Die Reinigungskraft verdient wenig.
1165,Die Lehrerin ließ den Unterricht ausfallen. ,Die Lehrkraft ließ den Unterricht ausfallen.
1166,Der Lokführer hat häufig Abendschichten.,Das Zugpersonal hat häufig Abendschichten.
1167,Übungsleiter im Sportverein arbeiten häufig ehrenamtlich.,Übungsleiter und Übungsleiterinnen im Sportverein arbeiten häufig ehrenamtlich.
1168,Das Mädchen wollte eine Puppe.,Das Kind wollte eine Puppe.
1169,Er sieht aus wie eine Lusche.,Die Person macht einen geschwächten Eindruck.
1170,Das Mädchen war viel zu aufgetakelt.,Die Person hatte sich nicht passend gekleidet.
1171,Frauen schminken sich dauernd.,Viele Menschen legen Wert auf ihr Äußeres.
1172,Mädchen wollen sich immer nur rausputzen.,Viele Personen legen Wert auf ihr Aussehen.
1173,Fußballtrainer ist ein Job für Männer. ,"Jede Person kann das Ziel erreichen, eine Fußballmannschaft zu trainieren."
1174,Männer interessieren sich nicht für innere Werte. ,Viele Menschen lassen sich nicht von Äußerlichkeiten blenden.
1175,Sie suchten einen Experten für Forensik.,Jemand mit Expertise in Forensik wurde gesucht.
1176,Frauen quatschen immer viel.,Manche Menschen sprechen mehr als andere.
1177,Männer lieben schnelle Autos.,Manche Leute begeistern sich sehr für schnelle Autos.
1178,Das ist viel Verantwortung für einen einzelne Mann.,Das ist viel Verantwortung für eine einzelne Person.
1179,Jungs sind besser im Rechnen.,Nicht alle können gleich gut rechnen.
1180,Jungen sollen auch mal raufen dürfen.,Der Umgang mit Gewalt zwischen Kindern ist schwierig.
1181,Die neue Frauenbeauftragte begann im März mit ihrer Arbeit.,Die neue Stelle für Gleichstellung begann im März mit der Arbeit.
1182,Die Gleichstellung von Frauen ist sehr wichtig.,Die Gleichstellung aller Geschlechter ist sehr wichtig.
1183,Frauenförderung war ihm immer wichtig.,Die Gleichstellung aller Geschlechter wurde für wichtig erachtet.
1184,Der Vortragende gab einen guten Überblick.,Der Vortrag gab einen guten Überblick.
1185,Der Sprecher erklärte dann alles sehr einfach.,Es wurde dann alles sehr einfach erklärt.
1186,Die Dekanin setzte die neue Regelung durch. ,Das Dekanat setzte die neue Regelung durch.
1187,Männer sollten beim Flirten die Initiative übernehmen. ,Alle können beim Flirten die Initiative übernehmen.
1188,Die Verantwortung liegt in diesem Fall bei den Piloten. ,Die Verantwortung liegt in diesem Fall im Cockpit.
1189,Die Sekretärin bearbeitete alle Rechnungen.,Das Sekretariat bearbeitete alle Rechnungen.
1190,Der Dekan entwickelte die Strategie.,Das Dekanat entwickelte die Strategie.
1191,Krawatten sind immer ein gutes Geschenk für Männer.,Kleidung ist immer ein gutes Geschenk.
1192,Am Ende waren alle Jungs betrunken.,Am Ende waren alle betrunken.
1193,Die Kassiererin hatte einen Fehler gemacht.,An der Kasse war ein Fehler passiert.
1194,Die Masseuse machte einen guten Preis. ,Die Massage gab es für einen guten Preis.
1195,Die Männer in der Abteilung sprachen kaum untereinander.,Die Kollegen in der Abteilung sprachen kaum untereinander.
1196,Meine Tanten brachten immer viele Geschenke mit.,Meine Verwandten brachten immer viele Geschenke mit.
1197,Die Brüder kümmerten sich um den Garten.,Die Familie kümmerte sich um den Garten.
1198,Im Fasching verkleiden sich Mädchen gern als Prinzessin.,Im Fasching verkleiden sich Kinder gern
1199,Der Sänger gab ein tolles Konzert. ,Der Star gab ein tolles Konzert.
1200,Der Mann blieb nach dem Angriff liegen.,Das Opfer blieb nach dem Angriff liegen.
1201,Der Studentin kamen die Aufgaben sehr schwer vor.,Dem Prüfling kamen die Aufgaben sehr schwer vor.
1202,Der Wärter notierte alle Vorkommnisse.,Der Wache notierte alle Vorkommnisse.
1203,Die Teilnehmer am Biologie-Kongress bewunderten den Vortrag der bekannten Professorin. ,Die Teilnehmer am Biologie-Kongress bewunderten den Vortrag der Koryphäe.
1204,Die Bankräuber brachten bei dem Überfall eine Frau in ihre Gewalt.,Die Verbrecher brachten bei dem Überfall eine Geisel in ihre Gewalt.
1205,Die Frau übernahm viele Aufgaben im Verein. ,Das Mitglied übernahm viele Aufgaben im Verein.
1206,Die Männer hatten die Meisterprüfung nicht bestanden.,Niemand hatte die Meisterprüfung bestanden.
1207,Der Wissenschaftler galt als Bester in seiner Disziplin.,Das Genie galt als Bester in seiner Disziplin.
1208,Die Lehrer versammelten sich im Lehrerzimmer.,Der Lehrkörper versammelte sich im Lehrerzimmer.
1209,Alle Absolventen erhielten die Urkunde,Alle Absolventen und Absolventinnen erhielten die Urkunde
1210,Jeder Arzt sollte eine Weiterbildung besuchen. ,Jeder Arzt und jede Ärztin sollte eine Weiterbildung besuchen.
1211,Zahnärzte besitzen oft ein großes Haus.,Zahnärzte und Zahnärztinnen besitzen oft ein großes Haus.
1212,Die Hörer lauschten aufmerksam.,Die Hörer und Hörerinnen lauschten aufmerksam.
1213,Der Besitzer wollte das Auto verkaufen.,Die Person wollte das Auto verkaufen.
1214,Die  Referenten  hielten langweilige Reden. ,Die Vortragenden hielten langweilige Reden.
1215,Die Redner fesselten die Zuhörer. ,Die Sprechenden fesselten das Publikum.
1216,Rufen Sie einen Arzt!,Rufen Sie einen Arzt oder eine Ärztin.
1217,Die Abbrecherquote stieg nach dem Sommer weiter.,Die Abbruchquote stieg nach dem Sommer weiter.
1218,Alle zweifelten an den Aussagen des Fachmanns.,Alle zweifelten an den Aussagen des Fachkraft.
1219,Sie gingen trotzdem zu einem Fachberater,Sie gingen trotzdem zu einer Fachberatung.
1220,Der Programmierer erledigte die Aufgabe schnell.,Die Programmierung wurde schnell erledigt.
1221,Der Laptop musste vom Fachinformatiker gewartet werden.,Der Laptop musste von der Informatikfachkraft gewartet werden.
1222,Die Wand wurde fachmännisch gestrichen.,Die Wand wurde fachkundig gestrichen.
1223,Der Fahrgast fühlte sich unwohl.,Die mitreisende Person fühlte sich unwohl.
1224,Der Falschfahrer verursachte eine gefährliche Situation und danach verschwand er. ,Das falsch fahrende Fahrzeug verursachte eine gefährliche Situation und danach verschwand es.
1225,Der Feigling ließ sich nicht überreden.,Der Angsthase ließ sich nicht überreden.
1226,Der Fetischist dachte immer an die gleichen Dinge.,Die Person mit einem Fetisch dachte immer an die gleichen Dinge.
1227,Die Filmemacher trafen sich bei der Preisverleihung erstmals. ,Die Filmschaffenden trafen sich bei der Preisverleihung erstmals.
1228,Die Forscher machten zunächst wenig Fortschritte.,Das Forschungsteam machte zunächst wenig Fortschritte.
1229,Das Fällen so vieler Bäume wurde vom Forstwart kritisiert. ,Das Fällen so vieler Bäume wurde von der Forstaufsicht kritisiert.
1230,Ein Genießer bestellt fast immer eine Vorspeise. ,Ein Genussmensch bestellt fast immer eine Vorspeise.
1231,Jedes Mal musste man die Motorsäge beim Gerätewart ausleihen.,Jedes Mal musste man die Motorsäge bei der Geräteaufsicht ausleihen.
1232,Den größten Pokal bekam natürlich der Gewinner. ,Den größten Pokal bekam natürlich der Erste Platz.
1233,Jeder Großkunde wollte Rabatt auf die Früchte haben. ,Die Großkundschaft wollte Rabatt auf die Früchte haben.
1234,Die Villen aus der Gründerzeit waren besonders nachgefragt. ,Die Villen aus der Gründungszeit waren besonders nachgefragt.
1235,Der Grundschüler lernte das Lesen schnell. ,Das Grundschulkind lernte das Lesen schnell.
1236,Bei der Händlerin konnte man direkt nachfragen. ,Im Geschäft konnte man direkt nachfragen.
1237,Der Häuptling galt als sehr weise und umsichtig. ,Das Oberhaupt galt als sehr weise und umsichtig.
1238,Die Mieterin war schon wieder im Verzug.,Die Mietpartei war schon wieder im Verzug.
1239,Der Mieter wünschte sich weitere Renovierungen.,Die Mietpartei wünschte sich weitere Renovierungen.
1240,Diesen häufigen Störungen musste die Abteilung erst einmal Herr werden.,Diese häufigen Störungen musste die Abteilung erst einmal in den Griff bekommen.
1241,Die Tasche am Bahnhof wirkte herrenlos.,Die Tasche am Bahnhof wirkte verlassen.
1242,"Kommt der Paketbote, bin ich leider nie daheim!",Zur Paketzustellung bin ich leider nie daheim!
1243,Parlamentarier wurden in die Gruppe aufgenommen. ,Abgeordnete wurden in die Gruppe aufgenommen.
1244,"Kommt die Paketbotin, bin ich leider nie daheim!","Wenn Pakete kommen, bin ich leider nie daheim."
1245,Mein Partner unterstützt mich bei der Einarbeitung. ,Mein Gegenüber unterstützt mich bei der Einarbeitung.
1246,Eine Passantenbefragung ergab ein kleines Stimmungsbild.,Eine Straßenbefragung ergab ein kleines Stimmungsbild.
1247,Nach mehreren Anläufen fand sich ein Pate. ,Nach mehreren Anläufen fand sich eine Patenschaft.
1248,Pensionäre gehörten zu den besten Kunden.,Pensionierte gehörten zu der besten Kundschaft.
1249,Im Aufsatz wurde der Ich-Erzähler analysiert. ,Im Aufsatz wurde die Ich-Figur analysiert.
1250,Die Inhaber begrüßten die neue Zufahrt.,Die Inhabenden begrüßten die neue Zufahrt.
1251,Es meldeten sich mehrere Interessenten für den Plan.,Es meldeten sich mehrere Interessierte für den Plan.
1252,Der Interimspräsident traf kaum Entscheidungen. ,Die Übergangsleitung traf kaum Entscheidungen.
1253,Der neue Internist konnte durch seine Leistung überzeugen. ,Die neue ärztliche Fachkraft für Innere Medizin konnte durch Leistung überzeugen
1254,Der Interpret spielte noch eine Zugabe. ,Der Act spielte noch eine Zugabe.
1255,Die Kunstfreunde trafen sich am Anfang fast jede Woche. ,Die Kunstbegeisterten trafen sich am Anfang fast jede Woche.
